,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
1077,30.4,3008,42890,2.7,644100,457,9.8,1.14754098,113056,84.852459,1.010638
1078,13.4,5972,10887,4,629700,1225,4.8,0,38610,91.203593,0.2243804
1079,12,3125,27404,4.5,571800,742,18.8,0,46714,92.865497,0.384
1080,1.6,3821,19955,5.6,617800,600,2.4,0.15189873,20781,91.082278,0.04187386
1081,7.7,2832,20690,4,689800,700,4.2,4.62,39193,75.826667,0.2718927
1082,18.1,2532,23008,3.8,1000000,715,0,1.97058824,27689,82.847059,0.7148499
1083,12.9,4686,18565,4,603400,973,2,0.48618785,32783,85.861878,0.2752881
1084,40.8,2673,25945,5.1,490900,609,10.3,0.10465116,94432,85.069767,1.526375
1085,24,3030,19202,3.9,681500,809,11.4,0,54825,90.853659,0.7920792
1086,16.8,1810,23608,5.5,436400,398,7.8,0,72500,86.677419,0.9281768
1087,28.9,3464,32076,3.7,597800,885,12.3,0.33823529,58007,85.392157,0.8342956
1088,20.9,6142,12361,4.9,777400,1237,17.5,0.03585657,27308,89.585657,0.34028
1089,5.6,4324,22828,4.2,423900,1053,7.9,0.3487395,29301,82.134454,0.1295097
1090,2.8,3921,20124,4.2,0,943,8.3,10.78095238,22784,59.47619,0.07141035
1091,8.7,4661,12686,3.7,676800,1111,0,0,32487,91.297619,0.1866552
1092,68.6,4523,74579,4.1,1000000,1194,6,0,124886,87.852761,1.516692
1093,2.2,6966,19389,4.2,432000,1483,4.9,2.05851064,26643,80.62766,0.03158197
1094,31.4,2883,36147,3.7,816700,697,26.4,0.77900552,85875,84.259669,1.089143
1095,2.5,7209,6816,4.3,0,1545,25.4,7.49350649,23470,66.558442,0.03467887
1096,19,4711,14125,3.6,370000,1129,9.4,0,30455,88.329412,0.4033114
1097,3.9,4241,33666,3.6,226700,987,13.6,0,33661,90.428571,0.09195944
1098,11.9,5006,14754,3.7,0,1156,15.5,0,21368,91.738636,0.2377147
