,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
1264,6.6,2745,44360,3.2,356200,378,2.9,20.0408805,70938,53.981132,0.2404372
1265,22.2,3127,36784,4.3,549200,787,6.6,10.19402985,97518,64.408582,0.7099456
1266,47.1,882,62099,2.6,720800,135,34.1,0,37056,93.706522,5.340136
1267,45.5,2498,70482,3.4,922700,430,11.7,1.09195402,119625,84.775862,1.821457
1268,6.7,4620,10627,3.8,480000,1021,7.3,0.72361809,28319,80.512563,0.1450216
1269,8.7,5744,17270,3.5,420700,1337,3.3,0.55895197,51096,81.912664,0.1514624
1270,0,5721,14865,3.9,412500,1263,27.8,2.44970414,32436,82.289941,0
1271,0,1659,12138,3.6,162500,359,22.9,7.62913907,41607,70.569536,0
1272,6.1,2856,16133,3.9,169300,595,0,0.21052632,41190,87.25,0.2135854
1273,25,3940,8527,3.8,28300,858,13.2,23.48965517,62159,51.724138,0.6345178
1274,3.6,5981,17439,3.9,60000,1284,7.8,0,35043,87.767442,0.0601906
1275,24,1996,3787,5.2,554400,476,10.2,5.10606061,76458,70.429293,1.202405
1276,7.2,7593,12303,3.9,212500,1769,26.4,3.66115702,40220,81.822314,0.09482418
1277,54.1,1225,31825,4.3,453700,217,14.9,2.68161435,107841,76.977578,4.416327
1278,14.3,907,12387,5.1,455400,251,18,3.81182796,91389,76.602151,1.576626
1279,4.5,2364,12336,5,371200,481,25.5,0.53439153,66694,74.989418,0.1903553
1280,11.6,1192,30547,3.9,304500,241,0,4.29799427,28309,74.859599,0.9731544
1281,8.9,2477,14763,4,345800,572,17.6,15.49635036,54706,61.408759,0.3593056
1282,3.8,4378,17310,3.3,305000,1008,11.5,0,30948,88.496124,0.08679762
1283,0,1550,11837,4.9,350000,325,12.9,0.94160584,45865,75.532847,0
1284,5.4,7769,13983,4.1,195800,1685,9,2.40096618,28496,76.908213,0.06950702
1285,5.5,1538,8682,3.8,30000,388,1.6,0.29050279,38398,87.759777,0.3576073
1286,8.6,3265,15006,4,429600,734,22.9,1,35833,78.333333,0.2633997
1287,4.3,2043,15862,5,383200,520,14.7,1.28723404,81411,76.12234,0.2104748
1288,10.2,2612,16941,5.2,380700,595,26.8,1.03030303,65345,74.345455,0.3905054
1289,11,2391,19521,3.7,436400,452,29.3,1.76315789,42093,76.828947,0.4600586
1290,10.8,6757,8885,3.8,284400,1496,18,0.61386139,22571,78.643564,0.1598342
1291,0,0,31809,0,0,0,0,41.6540234,0,21.540234,0
1292,27.1,3090,21555,4,588500,657,7.3,0,53690,91.349727,0.8770227
1293,13.7,4262,62391,4.1,802100,933,3.9,1.96111111,61304,78.938889,0.3214453
1294,26,3253,20343,4.4,753700,756,12.4,0.87046632,35615,89.61658,0.7992622
1295,13.6,3218,36475,4.2,660600,768,6.6,0,45054,91.664835,0.4226227
1296,8.7,2710,13278,3.8,1000000,705,0,2.58709677,116016,78.083871,0.3210332
1297,0,4496,46373,4.1,981300,1249,23.6,3.32258065,21850,70.524194,0
1298,46.4,2162,25814,5.2,658600,544,2.3,0,90946,91.674603,2.146161
1299,21.6,1584,17721,4.3,1000000,277,5.1,2.13829787,75855,72.851064,1.363636
1300,9.2,5310,15893,4,803800,1245,6.7,0,38536,93.133891,0.173258
1301,18.8,2861,26447,3.9,970200,482,18.6,1.08127208,51600,85.65371,0.6571129
1302,25.9,3264,17158,4.5,698200,678,7.9,2.98113208,29647,86.688679,0.7935049
1303,18.2,5361,28865,3.9,772000,1165,0,0,38288,91.399038,0.3394889
1304,16,3348,42371,3.8,799000,777,26.7,4.09677419,101985,73.919355,0.4778973
1305,11.6,1903,25545,5.7,711000,474,0,0,51169,91.907285,0.6095638
1306,53.2,2875,50336,3.6,763200,499,11.7,0.96585366,90455,82.180488,1.850435
1307,2.3,2182,31174,5,662400,565,0,0.05960265,47582,91.403974,0.1054079
1308,68.2,1624,49526,3.9,741200,279,33.3,0.69281046,44833,84.954248,4.199507
1309,33.3,1849,33652,5.7,665400,443,17.1,0,70081,88.22,1.800973
1310,21.3,2611,24746,5.3,708500,644,2.8,0.21243523,64583,87.217617,0.8157794
1311,73.4,4402,18222,4.1,661500,890,0,1.8,123819,84.587097,1.667424
1312,0,6412,15093,3.5,133300,1504,14.8,5.62643678,23272,70.132184,0
1313,39,3971,46828,3.9,292500,1024,6,15.48473282,101375,60.259542,0.9821204
1314,8.6,2758,24470,3.9,386500,596,6.9,0,55568,84.335294,0.3118202
1315,3.3,10419,14927,3.4,341500,2217,7.6,4.97058824,37113,77.394958,0.03167291
1316,14.2,3397,21598,3.4,306900,688,12.5,3.1257485,62560,79.508982,0.4180159
1317,14.3,1233,12528,5.7,442700,293,12.8,2.62087912,55167,79.769231,1.159773
1318,10.3,3724,13286,4.2,415300,846,9.6,2.87559809,51944,80.502392,0.2765843
1319,14.4,3496,66664,5.2,515400,821,8.5,9.27272727,75735,63.537433,0.4118993
1320,1.3,3262,9974,3.6,381000,797,28.8,0.67647059,19306,82.686275,0.03985285
1321,3.8,7067,12345,4.2,237800,1584,9.9,8.39010989,24282,69.016484,0.05377105
1322,0,1,14152,0,0,0,0,44.4973822,0,23.575916,0
1323,50.3,1408,27348,3.7,357000,277,3.7,14.77319588,57214,63.159794,3.572443
1324,3.9,5974,23131,3.9,294200,1480,11.8,0.45147679,26642,89.894515,0.06528289
1325,8,2872,15059,4.7,387200,652,5.5,0.27310924,60486,76.852941,0.2785515
1326,16,2608,18002,4.1,366800,534,8.1,11.259375,39129,60.671875,0.6134969
1327,4.9,2549,25534,4.7,440900,585,20.4,0.58851675,54195,85.047847,0.1922322
1328,0,3514,14659,3.8,0,693,15.4,0,29740,89.342105,0
1329,0,3713,10568,4,433300,885,12.5,0.19444444,33182,85.259259,0
1330,5.9,3970,11437,3.5,152200,874,15.3,0,29821,82.347826,0.1486146
1331,6.1,3932,14096,3.4,141900,886,36.9,0,38333,87.92,0.1551373
1332,28.7,6156,10786,3.4,335500,1364,7.4,3.4921466,46418,74.86911,0.4662118
1333,0,1303,14767,4.8,404000,294,16.9,2.21428571,56094,74.9,0
1334,4.3,3210,16318,3.9,452100,744,20,0,42348,87.537415,0.1339564
1335,3.5,3852,11085,4,316700,894,21.7,2.15517241,17034,83.172414,0.09086189
1336,2.9,3767,13284,3.3,327300,700,11,1.59545455,24447,76.995455,0.07698434
1337,0.9,4906,36102,3.9,345600,1054,14.2,0.34615385,25194,86.080769,0.01834488
1338,9,3153,32667,4.5,657900,711,12.7,0,57697,93.475,0.2854424
1339,14.7,5100,15009,4.3,722000,1168,19.1,0.08484848,52585,91.993939,0.2882353
1340,18.6,2599,12749,4,784900,457,0,2.3172043,25885,86.446237,0.7156599
1341,2.4,4630,12466,5.1,817700,857,7.9,0,35561,90.869318,0.05183585
1342,32.3,3855,24118,4,704200,791,17.9,1.10843373,35133,85.620482,0.8378729
1343,27.5,2900,21118,5,800000,771,10.1,2.17514124,96875,79.903955,0.9482759
1344,22.4,2719,37872,5.8,442300,816,3,14.62857143,67118,34.768664,0.8238323
1345,0,0,25817,0,0,0,0,25.66153846,0,2.646154,0
1346,12.5,6588,35721,6.6,637300,1700,1.4,37.34767423,119238,21.207176,0.1897389
1347,6.2,5014,29709,6.2,464400,1339,6,5.39210526,97292,69.110526,0.1236538
1348,13.4,5924,32240,5.6,366700,1592,0,6.74408218,93348,39.430996,0.2261985
1349,1.5,3004,42030,4.1,389900,820,8.9,17.00511073,56420,50.776831,0.04993342
1350,32.3,3347,38987,5.1,447800,840,15.3,6.69409938,74954,60.363354,0.9650433
1351,15.8,3270,37793,6.5,479500,920,12.7,11.97457627,111827,56.530266,0.4831804
1352,7.3,2818,16857,5.4,398500,751,12.2,18.69548134,62606,55.713163,0.259049
1353,24.1,9089,34966,6.2,504700,2172,4.2,35.51202326,82803,33.367744,0.2651557
1354,12.8,3873,38856,5.1,400000,1051,9.2,7.04213772,80016,58.266187,0.3304932
1355,27,5556,38007,6.3,475700,1675,7.2,15.52480418,95188,54.697998,0.4859611
1356,20.8,4814,35199,6,494300,1324,1.3,14.25728988,85302,53.184391,0.4320731
1357,8,3672,29651,5.3,370100,801,18.2,8.56553911,62688,64.275899,0.2178649
1358,8.6,3726,43265,5.9,466100,1066,4.1,8.82097458,84792,61.136653,0.2308105
1359,13.5,6239,39063,6.4,498000,1767,17.8,13.61302682,111250,55.920179,0.2163808
1360,23.3,8923,30337,6,372600,2431,5,9.40650407,97351,62.835772,0.2611229
1361,4.8,1257,27249,4.7,335800,325,0,31.20567376,46500,40.560284,0.3818616
1362,0,2362,44294,4.6,389300,394,0,10.40714286,40917,67.385714,0
1363,4.9,2602,25238,5.1,359700,639,0.9,12.67180617,70547,60.918502,0.1883167
1364,24.5,1719,34458,5.7,446400,453,10.6,12.62093023,101607,57.811628,1.425247
1365,0,0,37945,0,0,0,0,22.04659794,0,9.962474,0
1366,3.3,5503,20003,4.9,334800,1227,6.7,6.72449952,52292,63.99142,0.05996729
1367,6.9,1962,18665,4.7,365200,470,12.4,21.15503876,86667,55.534884,0.351682
1368,20.7,3591,7554,6,547100,931,11.3,14.84891304,96629,55.51087,0.5764411
1369,20.3,5810,34863,5.3,429500,1464,17.4,16.68008825,71261,40.959735,0.3493976
1370,12.8,6205,36473,5.4,321700,1622,4.4,10.87240356,81844,58.695351,0.2062853
1371,6.4,2767,26911,4.8,363300,729,5.2,4.23018868,64732,71.941509,0.2312974
1372,23.3,9879,38282,4,897800,1255,0,18.28915663,111968,63.381526,0.2358538
1373,17.6,2580,30487,5.7,532200,649,10.5,37.14191107,143992,37.486282,0.6821705
1374,8,3885,36263,6.2,428100,1052,2.4,3.74549098,110574,70.971944,0.2059202
1375,9.9,4654,36479,6.2,471100,1355,3.8,8.20854271,89916,66.080402,0.2127202
1376,36.5,5148,106523,3.3,69000,960,19.3,4.95811518,46136,74.21466,0.7090132
1377,45.3,7315,11452,3,1000000,1090,0,0.12987013,175583,80.861472,0.6192755
1378,51.7,7797,3725,2.7,752900,1032,5.4,0,143348,80.625616,0.6630755
1379,35.3,4014,0,3,658300,661,0,0,28056,90.551546,0.879422
1380,26.2,7756,17642,3.8,469000,1329,9.2,17.84965035,35227,59.153846,0.337803
1381,38.5,2998,121974,2.9,857100,318,37,1.45454545,69938,82.949495,1.284189
1382,56.2,2436,147077,3.1,1000000,431,0,0,126477,92.92,2.307061
1383,26,2465,24460,3.8,483300,524,18.8,12.912,79013,70.7,1.054767
1384,43.7,8908,41246,3.6,1000000,1887,8,16.29288703,132868,61.866109,0.4905703
1385,66.2,7022,25495,3.7,951800,1695,9,10.32894737,217727,73.811404,0.9427514
1386,85,2465,172366,2.9,1000000,417,3.7,0,191154,67.740933,3.448276
1387,15,6734,20719,4,812500,1258,14.1,12.65250965,30772,65.019305,0.2227502
1388,13.3,5443,33801,3.7,991000,1100,9.1,0.44848485,44911,85.509091,0.2443505
1389,15.2,1510,34440,6.1,492500,456,0,14.46923077,88295,49.144231,1.006623
1390,8.1,4227,27136,6.2,461800,1257,6.8,10.27504244,90632,62.039049,0.1916253
1391,25.9,3586,35906,6.3,528800,1051,0,40.97623239,92786,33.899648,0.7222532
1392,13.8,6999,35714,6,395100,1958,10.9,20.32516054,82639,49.458844,0.197171
1393,17.4,4165,35897,6.5,622500,1238,6.3,18.0083612,98623,50.909699,0.4177671
1394,20.1,4959,20973,6.2,477600,1430,5.3,7.34085779,88814,64.386005,0.4053237
1395,5.5,5163,27318,5.3,358600,1103,11.5,8.53255814,67299,65.431395,0.1065272
1396,6.1,4986,29056,5.1,394000,1250,0.8,15.79735683,61548,59.289648,0.1223426
1397,17.4,6060,21735,3.8,163600,1572,5.7,13.60245184,45429,54.423818,0.2871287
1398,18,2504,18589,4.3,323000,617,19.1,14.56737589,72313,56.166667,0.7188498
1399,15.6,9034,27828,5.5,430400,2083,8.5,9.75656566,72177,39.961953,0.172681
1400,34.1,3483,24523,2.6,596500,658,7.8,6.54504505,140500,70.927928,0.9790411
1401,54.2,3276,127880,4.2,1000000,633,0,1.75,166500,84.714286,1.654457
1402,0,3584,99388,3.3,341400,780,15.7,3.95698925,82391,81.333333,0
1403,34.1,7551,115066,3.2,652500,985,17.2,4.89230769,120000,80.451282,0.4515958
1404,67.7,9025,65265,3.3,971700,1882,27.3,0.27979275,0,79.217617,0.7501385
1405,7.5,8666,21801,3.7,274800,1816,21.5,1.91044776,28103,87.422886,0.08654512
1406,65.6,6559,42048,2.8,1000000,936,20.6,0.06532663,216923,89.663317,1.000152
1407,44.2,11490,121627,2.9,548500,2030,0,3.33160622,76930,79.559585,0.3846823
1408,7.8,1681,96903,3.8,516400,359,4.8,5.69318182,113015,72.272727,0.4640095
1409,63.5,5515,104790,3,1000000,738,2.4,0,150479,86.520202,1.151405
1410,52.9,843,89952,3.4,1000000,136,14.1,1.85393258,165500,67.449438,6.275208
1411,13.7,4330,69747,3.3,721200,898,7.4,1.1875,28872,76.535714,0.3163972
1412,29.3,2286,64073,3.2,1000000,503,0,5.68595041,30417,73.578512,1.281715
1413,8.5,7717,70224,3.7,645800,1658,20.5,1.65677966,22189,76.758475,0.1101464
1414,65.1,4921,67073,2.9,714500,712,6.1,0,167422,73.150259,1.322902
1415,10.9,1921,43803,5,1000000,142,30,0,120972,86.637931,0.5674128
1416,10.7,3069,17452,3.6,1000000,545,7.7,0,35353,90.158416,0.3486478
1417,67.4,12771,197931,2.9,725100,2394,1.6,0,143714,84.262376,0.5277582
1418,48.3,11038,90483,2.9,755400,2094,3.9,0,178397,81.102941,0.4375793
1419,36,3754,120307,2.9,964100,544,41.1,0,162578,81.072539,0.9589771
1420,43,7802,46917,3.2,713500,1156,0,10.01234568,65893,73.864198,0.5511407
1421,10.3,13686,15786,4,0,2571,13.7,0,37711,92.764368,0.07525939
1422,12.2,10641,27122,4.2,162900,2100,15.6,3.05821918,34835,76.571918,0.1146509
1423,38.3,7581,55265,3.2,769700,1385,10.6,0.04672897,37222,93.196262,0.5052104
1424,11.9,6506,22687,3.5,1000000,1483,0,0.39473684,0,87.308271,0.1829081
1425,28.8,2666,25356,3,380800,484,5.3,0.95275591,35278,86.606299,1.08027
1426,35.5,2998,26129,3.7,475000,745,6.2,25.75238095,115923,51.238095,1.184123
1427,24.8,4526,31504,6.2,472800,1238,4.8,12.9106345,110417,58.544236,0.5479452
1428,26.9,7541,10306,3.9,241700,1514,7.9,0,54597,89.538462,0.3567166
1429,4.7,5660,23629,3,395300,1146,10.5,0.16243655,33850,81.071066,0.08303887
1430,59.6,146,76759,2.2,921900,0,0,0,0,78.415385,40.82192
1431,7.6,3010,26006,3.7,437500,653,0,0.50434783,75284,86.226087,0.2524917
1432,11.9,3334,111300,3.2,1000000,383,0,0,151875,87.13089,0.3569286
1433,37.5,7020,22891,3.7,470900,1507,28.3,6.45408163,115875,74.454082,0.534188
1434,88.5,7187,79114,3.6,999400,1891,0,0.78195489,169081,73.315789,1.23139
1435,11.7,5724,34052,3.2,989300,916,0,0.671875,190125,81.578125,0.2044025
1436,80.8,7728,101959,3,654700,1388,6.5,0,205250,80.77686,1.045549
1437,19.2,6107,56555,3.1,1000000,862,0,0.50505051,0,83.333333,0.3143933
1438,9.7,2644,50526,3.4,525000,475,17.2,1.0960452,32538,87.468927,0.3668684
1439,24.1,9333,20071,3.8,1000000,1888,24.2,16.51271186,151000,63.555085,0.2582235
1440,63.5,9464,52666,3.4,1000000,2020,20.6,0.89795918,208782,80.403061,0.6709637
1441,43.1,6673,88932,3,1000000,827,0,0.95454545,74712,88.465909,0.6458864
1442,5.2,5191,35298,4.5,898400,649,13.3,29.05245902,157250,50.137705,0.1001734
1443,19.9,12331,11113,3.8,1000000,2492,29.3,5.79391892,39490,74.621622,0.1613819
1444,39.5,2934,198534,3.1,375000,456,3.9,3.13793103,60625,83.333333,1.346285
1445,78.1,2654,89630,2.8,725000,353,16,0,208750,64.634021,2.942728
1446,92.4,3427,83221,2.9,802900,619,12.2,0,131518,77.821053,2.696236
1447,23.5,3281,19049,3.4,370000,432,21.1,1.69811321,65338,92.377358,0.716245
1448,31.5,5614,107839,3.2,1000000,783,6.6,1.66847826,78333,78.228261,0.5610973
1449,8.7,5291,36251,4,0,1253,4.7,8.36734694,19867,65.761905,0.1644302
1450,65.6,4374,134209,2.7,684800,481,11.6,0,109219,87.589744,1.499771
1451,52.2,5238,72739,2.8,724700,825,25.5,3.42391304,181563,78.434783,0.9965636
1452,28.7,9333,12939,3.1,480600,2411,6.3,0.78688525,31561,81.446721,0.307511
1453,14.4,4524,80296,2.9,1000000,797,11.9,1.31034483,96250,86.12069,0.3183024
1454,28.7,4288,96483,5,1000000,1304,0,0.75,0,79.72,0.6693097
1455,71.9,7500,115056,2.9,585800,885,0,0,141538,81.572165,0.9586667
1456,3.9,3563,27247,3.8,568200,734,11.2,1.80769231,34076,81.987179,0.1094583
1457,11.1,4408,30398,3.7,471100,909,19.9,3.38823529,46295,79.352941,0.2518149
1458,58.2,9667,5171,3.5,598900,2153,7.9,5.65879265,80909,59.107612,0.6020482
1459,63.4,8628,11099,3.2,1000000,2018,0,1.72340426,202743,62.907801,0.7348169
1460,58.3,16735,73855,3.7,0,2908,1.1,5.4967033,101203,65.342857,0.3483717
1461,0,1746,38685,4.2,0,455,21.1,20.51351351,18406,57.77027,0
1462,38.5,3286,102173,4.1,1000000,820,8.5,2.125,226923,81.46875,1.171637
1463,47.7,15641,77331,3.3,965300,3676,1.4,0.35655738,179038,78.860656,0.3049677
1464,55.9,7537,88796,3.2,795700,1653,0,13.41538462,206402,59.733333,0.7416744
1465,72.8,5719,131145,3.1,0,980,17.4,0,103177,82.987654,1.27295
1466,41.8,8421,10816,3.9,704000,1611,5.7,0.08290155,44559,89.523316,0.4963781
1467,8.3,5577,17138,3.6,982100,1142,16,0,46106,88.56701,0.1488255
1468,29.6,11367,33982,3.9,558800,2102,21.6,0.10526316,38219,91.768421,0.2604029
1469,16,9557,15845,3.9,386600,1968,12.4,0.08715596,41935,88.692661,0.1674166
1470,11.8,7879,15501,3.3,54000,1590,8.2,8.64327485,43902,75.251462,0.1497652
1471,0,0,0,0,0,0,0,17.90588235,0,39.364706,0
1472,3.9,2709,13406,3.8,0,613,5.9,5.33663366,20764,78.207921,0.1439646
1473,5.1,8308,94254,3.7,449400,2025,37,5.05797101,46488,64.889855,0.06138662
1474,0,0,17788,0,0,0,0,7.4650913,0,55.177229,0
1475,16.7,11354,115317,3.7,519100,2500,3,4.92883895,22982,73.883895,0.1470847
1476,90.8,8598,50430,2.4,911000,1231,21.8,0,175208,80.132296,1.05606
1477,45.6,1396,38856,3.2,1000000,334,0,0,0,75.214953,3.266476
1478,1.9,6174,62230,3.9,0,1460,22.8,5.2832618,25326,54.738197,0.03077421
1479,22.9,3552,30503,3.4,505400,860,0,2.84732824,55759,82.755725,0.6447072
1480,74.7,4167,79630,2.4,746100,602,0,1.02556818,200735,77.508523,1.792657
1481,11,3205,78400,3.6,597600,756,7.3,8.66990291,150913,69.902913,0.3432137
1482,3.2,5847,10380,3.8,0,1133,8.5,1.70790378,22344,84.632302,0.05472892
1483,0,2240,14256,3.5,456900,524,4.7,1.07194245,41406,80.028777,0
1484,1.4,3761,30651,3.7,371200,845,17.6,4.33613445,29239,76.246499,0.03722414
1485,4.9,2128,9762,3.4,350000,576,7.7,0.08737864,35673,86.237864,0.2302632
1486,15.4,6664,26465,3.3,351100,1385,13.2,1.22068966,50905,86.417241,0.2310924
1487,50.3,1164,17789,4.9,545600,281,0,0.13690476,66146,88.678571,4.321306
1488,45.5,3863,23693,3.7,246800,934,5.8,5.67326733,67713,76.673267,1.177841
1489,33.9,2028,30860,4.7,578800,443,3.5,3.99480069,63676,81.053726,1.671598
1490,29.2,6099,30367,3.4,264100,1503,3.9,1.0462963,45972,87.300926,0.478767
1491,4.9,4170,26829,5.5,387900,1016,11.2,11.1540154,72679,50.944994,0.117506
1492,18.3,5522,0,3.4,281800,1179,12.4,0.69270833,57161,83.192708,0.3314017
1493,0,0,20483,0,0,0,0,11.2885906,0,43.118568,0
1494,3.2,8345,23000,4.2,487300,2152,13.9,1.28289474,50391,80.611842,0.03834632
1495,8.1,6277,0,4.2,388400,1692,12.2,11.35813953,59323,64.032558,0.1290425
1496,2.3,4836,21735,5.2,388400,763,9.8,5.04109589,81406,75.530822,0.04755997
1497,11.1,2442,17946,5.3,430100,607,5.8,7.74509804,76346,67.02451,0.4545455
1498,11.5,4852,26225,5.2,481100,989,9.6,1.77777778,62483,84.113169,0.2370157
1499,5.9,7041,23280,5.7,372000,1578,5.7,4.708061,72083,71.739651,0.08379492
1500,0,0,23061,0,0,0,0,0.23699239,0,85.376904,0
1501,10.3,12877,19073,4.1,169400,3216,21,9.80095923,53288,64.522782,0.07998757
1502,25.4,3466,25858,4.7,332700,901,4.9,0.75147929,61422,83.869822,0.7328332
1503,8.3,2954,15131,5.8,377100,751,8.5,3.35824742,67192,74.693299,0.2809749
1504,10.4,1976,22225,6.7,433400,372,17.2,6.01826484,82396,68.785388,0.5263158
1505,4,7814,14360,4.2,467000,1355,15.9,0,42637,87.58547,0.05119017
1506,18.8,1524,14063,5.7,402000,321,6.6,6.90123457,94583,65.814815,1.233596
1507,2.2,4153,18670,5.3,323400,824,10.9,2.23062382,63241,74.890359,0.05297375
1508,11.9,3669,17469,4.1,636400,642,0,1.54861111,46905,85.923611,0.3243391
1509,6.6,7326,32304,4.1,502200,1457,10.9,0,39271,89.198198,0.09009009
1510,1.7,3968,15692,4.7,460200,751,0,0,34496,88.655629,0.04284274
1511,9.5,3896,25109,5.1,342100,898,27,1.88846154,43622,76.865385,0.2438398
1512,0,3582,18163,4.2,613200,850,0,0.96335079,37117,86.942408,0
1513,11.4,5137,17893,4.2,599200,992,0,0.11578947,50139,88.257895,0.2219194
1514,17,1822,18699,6.2,375900,384,18,3.94736842,55257,72.276316,0.9330406
1515,42.4,1793,29816,5.8,493600,396,0,1.37566138,55625,78.740741,2.364752
1516,17.3,4392,12813,4.2,457500,1008,23.2,3.63137255,55134,72.227451,0.393898
1517,4.3,12978,18176,3.7,0,3266,6.5,0,52891,84.219512,0.03313299
1518,3.5,1478,16016,6,605500,282,17.3,7.76373626,80250,68.258242,0.2368065
1519,12.5,5008,21823,3.5,267300,947,7.8,0.94240838,41311,85.492147,0.2496006
1520,24.1,2625,28531,4.4,495200,605,7.1,8.32327586,61250,69.810345,0.9180952
1521,38.2,2074,35824,4.2,612500,534,8.6,17.00367647,73594,56.683824,1.841851
1522,12.6,8481,18297,3.9,377900,1690,10,0.42293907,42576,87.010753,0.1485674
1523,19.7,3598,21272,3.9,733600,764,0,0.68926554,40833,82.19774,0.5475264
1524,6.4,1644,18235,5.1,644900,365,0,23.74015748,69485,46.909449,0.3892944
1525,17.5,3926,20228,4.1,742900,657,3.6,0.29861111,54795,87.069444,0.4457463
1526,29.4,3494,36923,3.5,171900,690,5.5,15.76029963,86182,57.486891,0.8414425
1527,9.5,7026,36033,3.4,242800,1410,0,0.46540881,40884,85.641509,0.1352121
1528,2.7,3348,23520,4.3,471200,838,7.8,0.71146245,52712,86.509881,0.08064516
1529,12.8,8501,41432,3.5,264100,2043,5.4,0.31547619,36762,84.702381,0.1505705
1530,9.4,3295,33597,5.2,389700,766,11.7,0.2890625,61150,86.664063,0.2852807
1531,24.2,4296,23298,3.2,562500,989,4.2,2.44252874,28220,80.683908,0.5633147
1532,10,3767,24384,4,707500,880,7.2,26.69137931,69615,44.465517,0.2654632
1533,5.4,3551,20229,3.6,332500,751,3.9,0.21777778,57041,88.382222,0.1520698
1534,20.6,4770,24916,3.9,504000,1092,3.6,0.79099678,45227,86.340836,0.4318658
1535,32,3314,37178,4.1,279300,737,12.9,5.1124498,79005,73.927711,0.9656005
1536,15.4,4110,22354,3.7,549100,1128,29.7,11.54545455,41800,65.484848,0.3746959
1537,0,7,26639,0,0,4,0,19.34682081,0,34.289017,0
1538,38,4369,40369,3.2,567100,936,11.5,0.21621622,48149,90.927928,0.8697642
1539,4,5620,40065,5,406700,1348,14.2,0.11422414,69736,90.568966,0.07117438
1540,6.8,5824,34849,5,438100,1516,5.3,1.9222561,70833,80.676829,0.1167582
1541,40.2,5985,35471,3.4,603900,1232,13.5,0,55797,92.082192,0.6716792
1542,15.6,3888,23147,4.4,597300,837,10.4,3.25925926,55292,73.666667,0.4012346
1543,18.1,5802,18684,4.1,281800,1290,4.2,0,46538,87.515306,0.3119614
1544,0,3592,20772,3.2,386300,763,2.7,2.3557047,41588,79.751678,0
1545,6,4191,15879,4.6,520400,604,45.5,0.60106383,60114,81.973404,0.1431639
1546,13.5,2977,26487,5.6,351800,689,15.1,3.18554217,65747,74.385542,0.4534767
1547,8.7,4447,27501,5.6,422100,1001,13.7,4.20446735,72449,72.391753,0.1956375
1548,16,2637,13168,5.2,476200,595,17.4,1.02752294,59199,81.142202,0.6067501
1549,9.3,2488,13121,5.7,362200,572,15.5,0.71484375,63854,79.59375,0.3737942
1550,11.4,1925,17220,5.3,472500,383,2.3,4.24757282,58750,73.23301,0.5922078
1551,16.1,2464,0,4.7,531000,443,8.1,4.79545455,70179,78.011364,0.6534091
1552,10.7,6388,25621,5.9,387200,1580,7.1,3.30409357,74906,71.40117,0.1675016
1553,3.2,7509,15613,4.3,241300,1172,8.3,2.91798107,38714,75.529968,0.04261553
1554,53.1,1413,33283,3.9,697100,285,15.4,0,100230,89.666667,3.757962
1555,15.7,2621,32841,5.4,453800,650,27.2,1.77777778,68583,86.02439,0.599008
1556,8.6,4811,17591,4.4,0,1052,31.6,6.71174377,28444,71.846975,0.178757
1557,0,3632,43950,5.4,435100,873,2.2,3.812,68056,75.172,0
1558,12.7,3596,11343,3.9,543700,834,9.8,0.46067416,46250,89.207865,0.3531702
1559,16.2,1165,29920,3.5,603300,200,6.6,0.19230769,55958,88.007692,1.390558
1560,16.5,3872,32721,3.8,587300,860,5.6,0.8056872,47639,81.478673,0.4261364
1561,29,2782,20879,3.5,604700,645,3.7,3.63902439,62723,69.063415,1.042416
1562,18.6,2944,0,4.6,403700,752,13.7,0.15263158,51182,90.989474,0.6317935
1563,36.2,2613,22630,4.4,718800,593,11.6,0.92391304,77273,85.391304,1.385381
1564,15.2,4043,32534,5.4,409600,770,1.3,0,55606,89.515152,0.3759584
1565,3.7,2877,30084,4.6,464500,684,6.2,0,43750,90.112583,0.1286062
1566,0,0,21301,0,0,0,0,25.39928058,0,37.334532,0
1567,14.9,3222,17941,4.6,466300,768,32.3,2.04009434,60826,78.707547,0.4624457
1568,7.7,2886,18267,5.6,381000,648,5.5,2.27151335,67313,77.734421,0.2668053
1569,4.1,2346,24253,4.6,420600,538,16,0.53529412,58254,83.929412,0.1747656
1570,0,4467,14235,4.5,533100,944,13.3,0,43789,89.065574,0
1571,7.2,3864,19524,5,349100,867,2.4,1.88388626,53424,76.893365,0.1863354
1572,38.2,3298,20061,3.2,204400,800,12.3,0,60060,91.51417,1.158278
1573,54.4,4142,14278,3.3,380200,839,12,0,34264,88.71223,1.313375
1574,58.9,5212,37651,3.5,587100,830,4.2,0,58176,92.548523,1.130084
1575,26.3,3775,27801,3.4,644600,824,5,0.11627907,62625,91.102326,0.6966887
1576,5.9,3785,26363,5.8,447100,859,19.8,0.5708502,72731,87.109312,0.1558785
1577,57,3833,18282,3.3,781300,816,29.5,1.48920863,53679,76.294964,1.487086
1578,21.3,4131,36609,4,625900,986,6.6,1.59728507,35273,80.850679,0.5156137
1579,9.2,3666,17945,4.9,455700,716,4.2,0.57068063,60469,85.769634,0.2509547
1580,0,0,31534,0,0,0,0,2.00844595,0,76.010698,0
1581,6.9,3323,33396,5.1,444700,728,6.6,0,46781,90.322581,0.2076437
